season,week,transaction_id,related_transaction_id,transaction_type,status,espn_team_id,member_id,bid_amount,item_type,player_id,player_name,from_team_id,to_team_id,date
2024,1,9a93dcd2-a6da-4a8a-80cc-0992d6567f94,2aff4481-eee7-4a4b-90cb-c09d4f93769e,TRADE_PROPOSAL,CANCELED,10,{2C8A1B87-268B-45A5-A0E5-C4A3F61C9BC2},0,TRADE,4426502.0,Drake London,12.0,10.0,2024-09-09
2024,1,9a93dcd2-a6da-4a8a-80cc-0992d6567f94,2aff4481-eee7-4a4b-90cb-c09d4f93769e,TRADE_PROPOSAL,CANCELED,10,{2C8A1B87-268B-45A5-A0E5-C4A3F61C9BC2},0,TRADE,4429096.0,Blake Corum,10.0,12.0,2024-09-09
2024,1,029a0d39-569c-44dc-b486-858b28582d0b,,FREEAGENT,EXECUTED,2,{6AC115FA-3A0D-4948-8115-FA3A0DD94826},0,ADD,4360939.0,Rashod Bateman,0.0,2.0,2024-09-05
2024,1,029a0d39-569c-44dc-b486-858b28582d0b,,FREEAGENT,EXECUTED,2,{6AC115FA-3A0D-4948-8115-FA3A0DD94826},0,DROP,4431611.0,Caleb Williams,2.0,0.0,2024-09-05
2024,1,0e1cfc13-bbc1-4d7a-a40a-512d78677e75,,FREEAGENT,EXECUTED,12,{91D28B99-9234-408F-ACE7-32AEC03EE9E2},0,ADD,4569587.0,Wan'Dale Robinson,0.0,12.0,2024-09-02
2024,1,0e1cfc13-bbc1-4d7a-a40a-512d78677e75,,FREEAGENT,EXECUTED,12,{91D28B99-9234-408F-ACE7-32AEC03EE9E2},0,DROP,4045163.0,Miles Sanders,12.0,0.0,2024-09-02
2024,1,581fc331-c770-4f36-999c-61c1a650198f,,FREEAGENT,EXECUTED,8,{00408013-39CF-40FC-8080-1339CFD0FC06},0,ADD,4368003.0,Andrei Iosivas,0.0,8.0,2024-09-06
2024,1,581fc331-c770-4f36-999c-61c1a650198f,,FREEAGENT,EXECUTED,8,{00408013-39CF-40FC-8080-1339CFD0FC06},0,DROP,4360761.0,Michael Wilson,8.0,0.0,2024-09-06
2024,1,22c3b2a6-e586-4eee-a4f4-0910cd8a02f0,,FREEAGENT,EXECUTED,4,{8242D4C8-FCD1-4A28-9373-CD282687A8E7},0,ADD,-16001.0,Falcons D/ST,0.0,4.0,2024-09-05
2024,1,22c3b2a6-e586-4eee-a4f4-0910cd8a02f0,,FREEAGENT,EXECUTED,4,{8242D4C8-FCD1-4A28-9373-CD282687A8E7},0,DROP,-16015.0,Dolphins D/ST,4.0,0.0,2024-09-05
2024,1,0cfe3105-149a-4e4e-9a5d-f531822d37ca,740870e1-8e62-4d5a-8d3c-7e7a30fefc13,WAIVER,FAILED_INVALIDPLAYERSOURCE,8,NightlyLeagueUpdateTaskProcessor,1,ADD,-16004.0,Bengals D/ST,0.0,8.0,2024-09-02
2024,1,f6a77973-d1ae-4f70-b9cf-a8a71fafa408,,FREEAGENT,EXECUTED,8,{00408013-39CF-40FC-8080-1339CFD0FC06},0,ADD,4242557.0,Colby Parkinson,0.0,8.0,2024-09-02
2024,1,f6a77973-d1ae-4f70-b9cf-a8a71fafa408,,FREEAGENT,EXECUTED,8,{00408013-39CF-40FC-8080-1339CFD0FC06},0,DROP,-16008.0,Lions D/ST,8.0,0.0,2024-09-02
2024,1,81e0c2db-2666-4532-b4e8-404556c02dc7,,FREEAGENT,EXECUTED,8,{00408013-39CF-40FC-8080-1339CFD0FC06},0,ADD,-16016.0,Vikings D/ST,0.0,8.0,2024-09-02
2024,1,81e0c2db-2666-4532-b4e8-404556c02dc7,,FREEAGENT,EXECUTED,8,{00408013-39CF-40FC-8080-1339CFD0FC06},0,DROP,4045163.0,Miles Sanders,8.0,0.0,2024-09-02
2024,1,b623a961-62a6-43ca-a818-28b18380d3e3,f2cd3472-a0bd-4476-8381-61d2c928ddf2,WAIVER,EXECUTED,8,NightlyLeagueUpdateTaskProcessor,1,ADD,4045163.0,Miles Sanders,0.0,8.0,2024-09-02
2024,1,2aff4481-eee7-4a4b-90cb-c09d4f93769e,,TRADE_PROPOSAL,PENDING,10,{2C8A1B87-268B-45A5-A0E5-C4A3F61C9BC2},0,TRADE,4426502.0,Drake London,12.0,10.0,2024-09-09
2024,1,2aff4481-eee7-4a4b-90cb-c09d4f93769e,,TRADE_PROPOSAL,PENDING,10,{2C8A1B87-268B-45A5-A0E5-C4A3F61C9BC2},0,TRADE,4429096.0,Blake Corum,10.0,12.0,2024-09-09
2024,1,32c55129-fea3-413e-bddc-e2e1669bb0b2,,FREEAGENT,EXECUTED,14,{C2BAB8A3-9ED5-425C-BAB8-A39ED5B25CC2},0,ADD,3043116.0,Demarcus Robinson,0.0,14.0,2024-09-02
2024,1,84143d7f-f013-4ffe-be35-8903723709a5,bbf35fe2-b270-4843-aea8-3e6be8a27547,WAIVER,FAILED_ROSTERLIMIT,8,NightlyLeagueUpdateTaskProcessor,1,ADD,4038441.0,Justice Hill,0.0,8.0,2024-09-02
2024,1,9a043231-195d-4c38-82bc-fb50ccf16c10,,FREEAGENT,EXECUTED,8,{00408013-39CF-40FC-8080-1339CFD0FC06},0,ADD,4361050.0,Isaiah Likely,0.0,8.0,2024-09-02
2024,1,9a043231-195d-4c38-82bc-fb50ccf16c10,,FREEAGENT,EXECUTED,8,{00408013-39CF-40FC-8080-1339CFD0FC06},0,DROP,4242557.0,Colby Parkinson,8.0,0.0,2024-09-02
